num_of_agents,num_of_items,agent_capacity,supply_ratio,num_of_popular_items,mean_num_of_favorite_items,favorite_item_value_bounds,nonfavorite_item_value_bounds,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",utilitarian_matching,3,90.54056073413525,73.48066298342542,23.180592991913755,1.534518839391132,0,0.0,88,88,93,0.11505529999703867
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",utilitarian_matching,4,90.90706955039724,77.92553191489363,17.72486772486772,1.2599697463498045,0,0.0,86,86,93,0.13221390000035171
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,90.69800944892519,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.24171779999960563
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,90.05898169298018,75.75057736720554,7.6530612244897895,0.28109584936391385,0,0.0,98,100,100,0.20959510000102455
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.24592381006821384,0,0.0,100,100,100,0.24110219999784022
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.27102276919757345,0,0.0,100,100,100,0.2347645999980159
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.21639049999794224
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,90.69800944892519,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.24832020000030752
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,90.05898169298018,75.75057736720554,7.6530612244897895,0.28109584936391385,0,0.0,98,100,100,0.27759969999897294
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.24592381006821384,0,0.0,100,100,100,0.25770620000184863
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.27102276919757345,0,0.0,100,100,100,0.24676300000282936
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,90.53468373940144,78.47222222222221,11.420612813370468,0.6022525195715284,0,0.0,100,100,100,0.2190255999994406
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,0,89.00975346164995,70.28824833702882,13.525498891352555,0.8641882506281875,0,0.0,100,100,100,0.026449199998751283
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,1,88.61088270503707,71.14427860696517,11.18421052631578,1.0695759620552852,0,0.0,97,100,100,0.03746299999693292
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,2,89.30765437914384,75.52941176470588,13.17647058823529,0.6685785276369018,0,0.0,100,100,100,0.045986199998878874
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,3,88.56373226441616,72.16699801192843,8.130081300813004,0.7452847920284694,0,0.0,100,100,100,0.03796419999707723
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,4,88.87483905841856,68.07228915662651,8.838383838383834,0.9634917389280067,0,0.0,100,100,100,0.028884699997433927
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,0,89.29137520540961,72.5609756097561,12.732095490716176,0.8036547551356782,0,0.0,100,100,100,0.029071799999655923
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,1,88.21558719453114,71.08655616942909,8.62944162436547,0.4252658413704822,0,0.0,97,100,100,0.026825500000995817
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,2,89.20892948493197,71.96467991169978,10.070257611241217,0.552345145054681,0,0.0,100,100,100,0.025195300000632415
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,3,88.8797385823348,71.17117117117117,13.8888888888889,0.7322636606783582,0,0.0,100,100,100,0.026866300002438948
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,4,88.84608394106851,71.54989384288747,17.15686274509804,1.096544546432459,0,0.0,100,100,100,0.031475900002988055
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",yekta_day,0,90.28293874967771,73.91304347826086,4.926108374384242,0.33576105486682695,0,0.0,100,100,100,0.06101440000202274
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",yekta_day,1,88.70420570269984,71.14427860696517,10.945273631840806,0.774597918391356,0,0.0,98,100,100,0.06013069999971776
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",yekta_day,2,89.90029623406951,75.69444444444444,12.235294117647058,0.6334007121674599,0,0.0,100,100,100,0.060577500000363216
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",yekta_day,3,89.81566127220854,75.17564402810304,6.483790523690757,0.3729647345063587,0,0.0,100,100,100,0.063371799999004
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",yekta_day,4,89.7601720670669,74.63054187192118,11.420612813370468,0.7049342319775395,0,0.0,100,100,100,0.0638135000008333
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,0,90.54216632239007,73.00884955752213,16.577540106951872,1.1590061364473878,0,0.0,88,92,98,3.7289382999988447
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,1,89.86473318137267,73.67021276595744,11.403508771929822,0.6740777679349628,0,0.0,90,93,97,3.9081358000003092
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,2,90.20987374872726,75.69444444444444,8.101851851851848,0.3674809345952811,0,0.0,90,95,99,3.724801500000467
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,3,89.79454086193027,75.40106951871658,10.864197530864203,0.9372554750886838,0,0.0,91,93,96,3.8014150000017253
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,4,90.33335646759616,74.64454976303317,17.77251184834124,1.230799674015448,0,0.0,89,91,99,3.7969264999992447
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,0,90.5158344536062,73.00884955752213,13.69863013698631,0.7877438080580994,0,0.0,88,93,98,3.7490042000026733
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,1,89.89837621296641,73.67021276595744,9.308510638297875,0.4677376802436139,0,0.0,91,96,99,3.834989899998618
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,2,90.21270189717154,75.69444444444444,10.138248847926263,0.5865806218789679,0,0.0,90,94,99,3.7061635999998543
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_with_donation,3,90.03709402675767,75.40106951871658,19.584569732937695,1.0587800236045097,0,0.0,93,93,97,3.7583186000010755
